GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e2-EduardoCastro,vaccination,VaccinationCenter,49,0,2,0,13,0,5,0,4,0
e2-EduardoCastro,vaccination,Main,5,0,0,0,3,0,2,0,2,0
e2-EduardoCastro,vaccination,App,123,56,19,2,41,12,15,4,3,4
e2-EduardoCastro,vaccination,User,1,22,2,2,0,5,2,2,0,2
